HolderAddress,Balance,PendingBalanceUpdate
,,
,,
,,
0xf2978b5dabb93964410fb0394c07f144706a2df7,6013.76,No
0x6e1ad8e91b9b7b677c2a81fa31b6faaa657424fb,5824.59509267175,No
,,
0x1d0d7bd1ef5dfdde86c8b145cdf948ad8f0e9961,3555.2736513586,No
0x24db8a0a16da2812b55af4d0f3a8ada8a68a330f,1817.00008352765,No
,,
0x24c6bbb049784095b398f54b963cc5c9189436e3,1107.41936435054,No
0x29af0036eb56ae8273815b250acc0c49eaf5c3da,618.334467086069,No
0x1e8ebaa6d9bf90ca2800f97c95afedd6a64c91e2,465.06071463202,No
0xe95c2a3fe441d10dd3417fc5b7ea3241af317946,291.000000028172,No
0x19fa5828b99c82172fc48d282f1194fde0b67783,245.711536254222,No
0xa2bdf890e70d3468df5efb50d1c1117cd937e6e5,226.060200828158,No
,,
0x762c0e5ae9d4c726f9ee112cc66ed5f11566a8d0,212.422136553363,No
0x79a94077ac9ff31a9e728a25bf9a549affea1632,186.48456626574,No
0x86b2e21747a35faa7fc7f4f43b058e68a3af03dc,172.00538018702,No
0x88dda000a73cb5ae14ee0268dd11ed00cd282def,160.54751037014,No
0x6e866c11083cad42c937ae6c606957b989124127,132.918542599954,No
0xa79fbc93c9092f5f18b8b60f9a11c99f697faac9,105.716664110319,No
0x0ac6f9c896976fcaa151791a20bd51b1b9620f28,104.795318173177,No
0x43fc364ac5a51ee6c8a44b6adb80606bbb7607d0,85,No
0xa894186fe581b8ca4bdc34683cf40410ffcba67c,71.650069745248,No
0xeab824e199cd3bd5a657ab06d5502df66b5f87fc,48.0324148680153,No
0x6c6a234d1806f7d0bac872ed49933a6852424467,39.9045770721065,No
0xf0e43a827e5a66e51e88edcadf58176c42bad071,38.6678858534959,No
0x714d7baf5067855eba892296b6c6d94a09857010,32.8268728952837,No
0x0d734a787dfbadf4916b858d939aae0a9eeef4e2,32.24,No
0x5c044ca8eebab5e982bc61f75f6cce677397a899,26.8595801868682,No
0x970a4e96bc9a181965cabf04dbcd902b186781b0,24.9429238607852,No
0xe5727399a2ad1755c29c2bd258c3676680511b15,21.1606368793633,No
0x145a35a5ea96057b782a7dd60894d461ded5c5e1,20.144409539076,No
0x6d27f5d0bc18091ee12d23a08cd4e7b1f8593863,19.4028261319954,No
0xbe7d5b134416e79f5f1ada633515d4916d0fc733,16.5706685493351,No
0x2e9cad50082be2a6975e4cf035fe4d9acf189021,16.0989400917015,No
,,
0x8311f4f0a58abc22da4e3b24018bfb6b4122e20a,12.5946999994202,No
0xf6aa21404f079e8b8e142e91fd408a86713dc087,10.4062774894212,No
0x673394895b3654e81aeb229412c2a8cf7955d7b4,10.1148624978871,No
0x8114e78965b7f7e52e35b2cfbe33973a4ef320cb,10,No
0xe7597d5c02df9e36022e84c82dbdd2b8378beec8,10,No
0x0e024cdba8377acf2d83e23090e27f5f8f490497,9.88,No
0xc5a0d238075734bf1758a5d6fe6edd6fb2f2e675,9.5816271453083,No
0xc7616212016fa02ec5acf267489e44077723a205,8.52879641144707,No
0xf7476db5b717ac661c027e684456115ab1e728c3,7.19643084962889,No
0x80ae402ac0984d84c232e61bc13f066df590bde0,6.14000000334016,No
